id,card_id,buy_date,sell_date,quantity,buy_price,sell_price,source,condition,status,note,bulk_record_id,album_id,album_status,album_quantity
1772124406331,17718089334894,2026-02-01,2026-03-15,1,2777,3500,中-閒魚,無損,到貨,,,,,0
1772125010248,17718206852169,2026-01-29,2026-02-26,1,826,0,中-閒魚,無損,到貨,,,,,0
1772128111409,17720362514170,2025-12-16,2026-02-26,1,324,0,中-切卡,無損,到貨,,,,,0
1772128162640,17720732354170,2025-12-12,2026-02-26,1,754,0,中-切卡,無損,到貨,,,,,0
1772129198863,17721193877665,2025-10-26,2026-02-02,1,295,600,中-切卡,無損,到貨,,,,,0
1772129519644,17719149478630,2025-08-29,2026-02-26,2,591,0,中-魚香,無損,到貨,,,,,0
1772164969024,17719121201941,2025-08-28,2025-10-10,1,304,350,中-閒魚,無損,到貨,,,,,0
17721650461470,17719121201941,2025-08-27,2025-08-25,1,320,320,中-閒魚,無損,到貨,換卡,,,,0
17721650461471,17719121201942,2025-08-27,2026-03-06,1,263,0,中-閒魚,無損,到貨,,,,,0
17721651214290,17719367233731,2025-08-26,2025-08-22,1,301,450,,無損,到貨,,,,,0
17721651214291,17719367233732,2025-08-26,2025-08-19,1,300,400,中-閒魚,無損,到貨,,,,,0
1772165315344,17719162485130,2026-08-21,2026-02-27,1,400,0,FB,無損,到貨,,,1771790538782,未拆,0
1772165377444,17719162485132,2025-08-19,2025-08-08,1,255,400,,無損,到貨,,,,,0
1772165445698,17719122566031,2025-08-15,2025-08-10,1,297,330,,無損,到貨,,,,,0
1772165465158,17719122566032,2025-08-14,2025-08-10,1,212,280,,無損,到貨,,,,,0
1772165495160,17719122566031,2025-08-12,2025-08-10,1,296,330,中-閒魚,無損,到貨,,,,,0
1772165535239,17719122566032,2025-08-12,2025-08-10,1,211,280,中-閒魚,無損,到貨,,,,,0
1772165566873,17719162485132,2025-08-10,2025-08-08,1,253,300,,無損,到貨,,,,,0
17725218866530,17721878001580,2026-03-03,,1,125,0,,,,,,,,0
17725218866531,17721878001581,2026-03-03,,1,125,0,,,,,,,,0
17725218866532,17721878001582,2026-03-03,,1,100,0,,,,,,,,0
1772522347155,17719875950370,2025-11-02,2026-03-03,1,550,0,韓國,無損,到貨,演唱會LD,,1771790538782,未拆,0
17725226217160,177246983380531,2026-01-09,2026-01-06,1,1175,1175,FB,無損,到貨,,,,,0
17725226217171,177246983380537,2026-01-09,2026-01-06,1,1175,1175,FB,無損,到貨,,,,,0
